INSTRUMENT_KEY,L33
XBT: AXBT (TSK - TSURUMI SEIKI Co.),SDN:L33::361
XBT: AXBT 536 (SPARTON),SDN:L33::510
XBT: DEEP BLUE (TSK - TSURUMI SEIKI Co.),SDN:L33::251
XBT: XBT-20DB (SPARTON),SDN:L33::501
XBT: XBT-5DB (SPARTON),SDN:L33::441
XCTD: AXCTD (TSK - TSURUMI SEIKI Co.),SDN:L33::751
"XCTD: XCTD (TSK - TSURUMI SEIKI Co., 1000 meter max)",SDN:L33::741
XCTD: XCTD-1 (TSK - TSURUMI SEIKI Co.),SDN:L33::741
XCTD: XCTD-2 (TSK - TSURUMI SEIKI Co.),SDN:L33::742
XCTD: XCTD-2F (TSK - TSURUMI SEIKI Co.),SDN:L33::743
XCTD: XCTD-3 (TSK - TSURUMI SEIKI Co.),SDN:L33::744
XCTD: XCTD-4 (TSK - TSURUMI SEIKI Co.),SDN:L33::745
